"","address","lat","lon","title"
"1","No.30 Youya Road, Beitou District, Taipei 11243, Taiwan ",25.137793,121.51495,"Grand View Resort Beitou"
"2","No.28 Section 1, Minsheng East Road, Zhongshan District, Taipei 104, Taiwan ",25.057854,121.52409,"YoMi Hotel"
"3","No.3 Zhongshan Road, Beitou District, Taipei 11243, Taiwan ",25.137163,121.50544,"Beitou Hot Spring Resort (Tian Yue Quan)"
"4","No.18 Songgao Road, Xinyi District, Taipei 11073, Taiwan ",25.039248,121.56741,"Humble House Taipei"
"5","4F., No.11, Sec. 2, Nanjing E. Road, Taipei 104, Taiwan ",25.052057,121.52831,"Taipei Morning Hotel"
"6","No.131 Section 3, Nanjing East Road, Zhongshan District, Taipei 104, Taiwan ",25.05203,121.54097,"FX Hotel - Taipei Nanjing East Road"
"7","2F, No.42, Section 1, Minsheng East Road, Taipei 104, Taiwan ",25.058155,121.52451,"Via Hotel Loft"
"8","No.38 Songren Road, Xinyi District, Taipei 110, Taiwan ",25.037867,121.56796,"Le Meridien Taipei"
"9","No.63 Sung Chiang Road, Taipei 104, Taiwan ",25.04892,121.53329,"Evergreen Laurel Hotel"
"10","No.600 Linshen North Road, Zhongshan District, Taipei 104, Taiwan ",25.06592,121.52569,"Imperial Hotel Taipei"
"11","No.11 Youya Road, Beitou District, Taipei 112, Taiwan ",25.13717,121.5122,"Hotel DOUBLE ONE"
"12","No.186 Sung Chiang Road, Taipei 10467, Taiwan ",25.056469,121.532776,"Taipei Gala Hotel"
"13","No.39 Changchun Road, Zhongshan District, Taipei 104, Taiwan (Formerly Horng Gong Hotel Taipei)",25.05494,121.52591,"Tokyo International Hotel"
"14","No.1 Qiyan Road, Beitou District, Taipei 11242, Taiwan ",25.134659,121.507195,"The Gaia Hotel"
"15","No.253 Songjiang Road, Taipei 104, Taiwan ",25.059462,121.53338,"Check Inn Taipei"
"16","No.26 Zhongshan Road, Beitou District, Taipei 112, Taiwan ",25.13782,121.51026,"Royal Seasons Hotel (Hot Spring Beitou)"
"17","No.646 Linsen North Road, Taipei 104, Taiwan ",25.068357,121.52553,"Riviera Hotel"
"18","No.133 Section 3, Nanking East Road, Taipei 104, Taiwan ",25.052166,121.541115,"The Westin Taipei"
"19","No.297 Section 5, Zhongxiao East Road, Xinyi District, Taipei 11066, Taiwan ",25.04089,121.57295,"THE Tango Taipei XinYi"
"20","No.63 Section 2, Zhongshan North Road, Taipei 10446, Taiwan ",25.056581,121.52313,"Ambassador Hotel Taipei"
"21","No.83 Section 3, Civic Boulevard, Zhongshan District, Taipei 10491, Taiwan ",25.044691,121.53747,"Miramar Garden Taipei"
"22","No.224 Cuang Ming Road, Beitou District, Taipei 112, Taiwan ",25.13603,121.50548,"Sweetme Hotspring Resort"
"23","No.32 Zhongshan Road, Beitou District, Taipei 112, Taiwan ",25.137833,121.5105,"Villa 32"
"24","No.3 Nanjing West Road, Zhongshan District, Taipei 10444, Taiwan ",25.052748,121.52155,"THE Tango Taipei NanShi"
"25","No.9 Lane 64 Sec. 2 Jianguo North Road, Taipei 104, Taiwan ",25.0543,121.5359,"Beauty Hotels Taipei - Roumei Boutique"
"26","B1, No.16, Sec. 5, Xinyi Road, Xinyi District, Taipei 11049, Taiwan ",25.032806,121.5633,"Sparkle Hotel"
"27","4F, No.83 Linsen North Road, Taipei 104, Taiwan ",25.04975,121.52476,"Royal Inn Taipei Linsen"
"28","No.18 You Ya Road, Beitou District, Taipei 112, Taiwan ",25.13754,121.51371,"Spring City Resort"
"29","4F., No.246, Sec. 2, Changan East Road, Taipei 104, Taiwan ",25.048325,121.540405,"Horizon Inn"
"30","No.240 Guangming Road, Beitou District, Taipei 112, Taiwan ",25.13626,121.50733,"Golden Hot Spring Hotel"
"31","No.7, Sec 2, Jianguo North Road, Taipei 10487, Taiwan ",25.05272,121.53703,"Capital Hotel"
"32","No.52 Section 1, Jianguo North Road, Taipei 104, Taiwan ",25.04794,121.53625,"Beauty Hotels Taipei - Hsuanmei Boutique"
"33","No.15 Lane 83, Section1, Chungshan North Road, Taipei 10446, Taiwan ",25.04994,121.52433,"THE Tango Taipei LinSen"
"34","No.80 Linsen North Road, Zhongshan District, Taipei 10441, Taiwan ",25.049465,121.524605,"THE Tango Taipei ChangAn"
"35","No.1 Yinguang Lane, Wenquan Road, Peitou District, Taipei 111243, Taiwan (Formerly Lotus Spa Hot Spring Hotel)",25.1366,121.51303,"Nine Plus Spa Hot Spring Hotel"
"36","No.3 Yijiang Street, Jhongshan District, Taipei 104, Taiwan (Formerly Viscount Hotel)",25.050962,121.53149,"Forward Hotel - Songjiang"
"37","B1-F12, No.8 Minsheng West Road, Chung Shan, Taipei 104, Taiwan ",25.05783,121.52226,"Shin Shih Hotel"
"38","No.477 Linsen North Road, Jhongshan District, Taipei 104, Taiwan ",25.06112,121.52572,"Hotel Sense"
"39","6F., No.62 Changchun Road, Zhongshan District, Taipei 104, Taiwan ",25.05493,121.52626,"Beauty Hotels Taipei - Hotel Bnight"
"40","No.25 Section 2, Xinsheng North Road, Zhongshan District, Taipei 104, Taiwan ",25.053652,121.52775,"Beauty Hotels Taipei - Hotel Bchic"
"41","No.369 Linsen North Road, Zhongshan District, Taipei 104, Taiwan ",25.05774,121.52554,"Gloria Prince Hotel Taipei"
"42","No.299 Zhifu Road, Zhongshan District, Taipei 104, Taiwan ",25.0809,121.56158,"Mulan Motel Taipei"
"43","No.168 Jingye Fourth Road, Taipei 104, Taiwan ",25.084333,121.5585,"Grand Victoria Hotel"
"44","No.9 Section 1, Min-Chuan East Road, Taipei 104, Taiwan ",25.062944,121.52334,"Sunroute Hotel"
"45","No.24 Lane 170 Dehuei Street, Jhongshan District, Taipei 104, Taiwan (Formerly Aristocrat Hotel)",25.06506,121.53179,"The Metro Hotel"
"46","No.14, Lane 56, Section 3, Xinsheng North Road, Zhongshan District, Taipei 104, Taiwan ",25.06536,121.52685,"Taipei Lotty Hotel"
"47","No.66 Nanking East Road, Section1, Taipei 104, Taiwan ",25.05207,121.52508,"Taipei International Hotel"
"48","No.17-3 Lane 77, Section 2, Chungshan North Road, Taipei 104, Taiwan (Formerly Golden Time Hotel)",25.057611,121.52377,"Wish Hotel"
"49","No.163 Section 2, Nanjing East Road, Taipei 104, Taiwan ",25.05224,121.53597,"MAI HOTEL-Nanjin E.Branch"
"50","No.23-1 Shuang Cheng Street, Zhongshan District, Taipei 104, Taiwan ",25.06586,121.52431,"Friends Yo Lai Regency"
"51","No.15 Lane 105, Sec. 1, Zhongshan North Road, Taipei 10446, Taiwan ",25.050827,121.52359,"Mai Hotel Zhongshan"
"52","No.338 Fuxing N. Rd., Zhongshan District, Taipei 104, Taiwan ",25.059544,121.544,"Cityinn Hotel Plus - Fuxing N. Rd., Branch"
"53","3F., No.246, Sec.2, Changan E. Rd., Taipei 10492, Taiwan ",25.04817,121.54311,"Ark Hotel - Chang'an Fuxing"
"54","No.57-1 Section 2, Zhongshan North Road, Taipei 10412, Taiwan ",25.055792,121.52299,"amba Taipei Zhongshan"
"55","No.98 Yanchang Road, Xinyi District, Taipei 11072, Taiwan ",25.044977,121.5615,"Eslite Hotel"
"56","No. 199, Lequn 2nd Road, Taipei, Taiwan, Taipei 10462, Taiwan ",25.080334,121.55896,"Taipei Marriott Hotel"
"57","No.16 Section 3, Nanjing East Road, Zhongshan District, Taipei 10489, Taiwan ",25.05179,121.53758,"U Hotel Taipei - Nanjing East Road"
"58","No.181 Section 2, ChungShan North Road, Zhongshan District, Taipei 104, Taiwan ",25.06323,121.52265,"Sansui Hotel"
"59","No.16 Lane 107 Linshen North Road, Zhongshan District, Taipei 104, Taiwan ",25.05015,121.52573,"Liz Hotel"
"60","No. 1 Shuangcheng St., Zhongshan Dist., Taipei 104, Taiwan ",25.062925,121.52455,"Aloft Taipei Zhongshan"
"61","No.10 Jinzhou Street, Zhongshan District, Taipei 104, Taiwan ",25.06035,121.5238,"Gwo Shiuan Hotel"
"62","No.55-1 Section 4, Nanking East Road, Songshan District, Taipei 104, Taiwan (Formerly Hondo Hotel)",25.05185,121.55239,"Capital Hotel Arena"
"63","3F., No.282 Linsen North Road, Taipei 10450, Taiwan ",25.055502,121.52533,"E Hotel"
"64","No.1-2 Zhongshan Road, Beitou District, Taipei 112, Taiwan ",25.137383,121.50881,"Pink Lotus Hotel"
"65","No.93 Section 2, Chienkuo North Road, Taipei 104, Taiwan (Formerly Shang Hao Hotel)",25.05874,121.53717,"RF Pretty Hotel"
"66","No.40 Zhong He Street, Taipei 112, Taiwan ",25.13821,121.5026,"E-JIA Service Apartment"
"67","No. 199, Lequn 2nd Road, Taipei, Taiwan, Taipei 10462, Taiwan ",25.080334,121.55896,"Taipei Marriott Hotel"
"68","No.2 Min Chuan East Road, Section 3, Taipei 10464, Taiwan ",25.05784,121.53752,"Hotel Taipei Miramar"
"69","1F, No. 31, Fushun Street, Taipei 104, Taiwan ",25.063555,121.52007,"Inn Cube- Minquan"
"70","3F, No.468, Section 4, Xinyi Road, Xinyi District, Taipei 110, Taiwan ",25.03298,121.55913,"AT Boutique Hotel"
"71","No.30-148-20 Yongji Road, Xinyi District, Taipei 110, Taiwan ",25.042774,121.567696,"EnRich House"
"72","5F., No.95-1, Songjiang Rd., Taipei 104, Taiwan ",25.050898,121.533325,"Free An Hotel"
"73","3F, No.71, Section 2, Zhongshan North Road, Zhongshan District, Taipei 104, Taiwan ",25.05728,121.52305,"Beauty Hotels Taipei - Hotel Bstay"
"74","No.385 Hsin-Yi Road, Section 4, Sinyi Road Sinyi District, Taipei 110, Taiwan ",25.03314,121.55813,"Royal Best Suites"
"75","No.10 Lane 107, Linsen North Road, Taipei 104, Taiwan ",25.0502,121.52546,"Taipei Hotel New Moon"
"76","No.485 Songjiang Road, Taipei 104, Taiwan ",25.0672,121.53338,"Green World Hotel Song Jiang"
"77","No.299 Lequn 2nd Road, Zhongshan District, Taipei 104, Taiwan ",25.079975,121.56104,"istaytion-Rome Holiday Station"
"78","2F., No.9, Lane 259 Linsen North Road, Zhongshan District, Taipei 10450, Taiwan ",25.05434,121.52606,"Beauty Hotels Taipei - Hotel Bfun"
"79","No.15-2, Sec. 2, Keelung Rd, Taipei 110, Taiwan ",25.02918,121.55725,"HolyPro Boutique Hotel"
"80","No.673 Linsen North Road, Zhongshan District, Taipei 104, Taiwan ",25.06817,121.52578,"Hotel Prima Casa"
"81","No.9 Peitou Road, Section 2, Peitou District, Taipei 112, Taiwan ",25.13076,121.49917,"Chinatrust Executive Suites Peitou"
"82","No.143 Chue Chun Road, Taipei 104, Taiwan ",25.053928,121.53905,"Happy Family Hostel II"
"83","No.153 Songshan Road, Xinyi District, Taipei 110, Taiwan ",25.04653,121.57789,"Wonstar Hotel (Songshan)"
"84","No.25 Quanyuan Road, Beitou District, Taipei 112, Taiwan ",25.13936,121.50602,"Longbon Resort Beitou"
"85","No.7 Lane 21, Zhang street , Shilin District, Taipei 112, Taiwan (Formerly Tianmu Star Urban Living Serviced Apartment)",25.114,121.514336,"Yangming Service Apartment"
"86","3F, No.34 Nong'an Street, Jhongshan District, Taipei 104, Taiwan (Formerly Nongan Hotel)",25.0649,121.52682,"Cai She Hotel"
"87","3F,No.30,Lane 183, Section 2, Zhongshan North Road, Zhongshan District, Taipei 104, Taiwan ",25.06367,121.52419,"Dongfangdi Hotel"
"88","No.8 Lane 133, Linsen North Road, Zhongshan District, Taipei 10454, Taiwan ",25.051096,121.52517,"Rose Hotel Linsen"
"89","No.283 Guang Ming Road, Peitou District, Taipei 112, Taiwan ",25.136951,121.511,"Spa World Spring Resort"
"90","No.258 Guangming Road, Beitou District, Taipei 112, Taiwan ",25.1368,121.50934,"Atami Hotel Taipei Onsen"
"91","No.108 Sec 2, Nanjing E. Rd.,, Taipei 104, Taiwan ",25.05196,121.53208,"I Station-Midtown Apartment"
"92","2-5F, No.262 Wolong Street, Taipei 110, Taiwan ",25.01768,121.55796,"Lucky Apartment TWTC Linguang"
"93","No.17 Quanyuan Road, Beitou District, Taipei 112, Taiwan ",25.13825,121.50455,"Shan Yue Hotspring Hotel Taipei"
"94","1F-10F, No.293 Songjiang Road, Zhongshan District, Taipei 104, Taiwan ",25.06061,121.53339,"Taipei Easy Stay Inn - Serviced Apartment SJ-293"
"95","No.64 Section 1, ChangAn East Road, Taipei 104, Taiwan ",25.048027,121.52942,"Ambience Hotel"
"96","No.2 SongShou Road, Xinyi District, Taipei 110, Taiwan ",25.03564,121.56262,"Grand Hyatt Taipei"
"97","No.1 Section 4, Chung Shan North Road, Taipei 104, Taiwan ",25.0785,121.526,"Grand Hotel Taipei"
"98","No.3, Lane 39, Section 2, Chungshan North Road, Taipei 104, Taiwan (Formerly The Regent Taipei)",25.054157,121.52435,"Regent Taipei"
"99","No.10 Section 5, Zhongxiao East Road, Xinyi District, Taipei 110, Taiwan ",25.040604,121.56546,"W Taipei"
"100","No.37-1, Section 2, Chung Shan North Road, Taipei 104, Taiwan ",25.05372,121.52277,"Hotel Royal-Nikko Taipei"
"101","No.41 Min Chuan East Road, Section 2, Taipei 104, Taiwan ",25.062574,121.52999,"Landis Taipei Hotel"
"102","No.359 Linsen North Road, Taipei 104, Taiwan ",25.05724,121.52553,"Gloria Residence"
